UDID,TO_ACTION,secondCateName,GPS_geo
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,ershouqiche,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,ershouqiche,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,ershouqiche,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,ershouqiche,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,ershouqiche,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,ershouqiche,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,ershouqiche,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,ershouqiche,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,ershouqiche,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,ershouqiche,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,ershouqiche,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,ershouqiche,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,ershouqiche,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,ershouqiche,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,shouji,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,shouji,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,shouji,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,shouji,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,shouji,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,shoujihaoma,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,shoujihaoma,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,shoujihaoma,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,shoujihaoma,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,shoujihaoma,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,shoujihaoma,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,shoujihaoma,
5dda9dda-442c-33cf-9b8f-c9e62d4caaa0,/viewAd,shoujihaoma,
