@relation gps_clustered

@attribute Instance_number numeric
@attribute udid string
@attribute jingdu numeric
@attribute weidu numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10}

@data
109,461b5a137c139e074a4a7613749b1d8c,0.484148,0.687588,cluster3
110,461b5a137c139e074a4a7613749b1d8c,0.484151,0.68759,cluster3
111,4f919f35bd32de3a8829e8aa1e902ce3,0.461773,0.648011,cluster6
112,4f919f35bd32de3a8829e8aa1e902ce3,0.461778,0.648011,cluster6
113,4fbad1b616dbe87a6e7f581f64ae7933,0.394346,0.655304,cluster5
114,4fbad1b616dbe87a6e7f581f64ae7933,0.394343,0.655304,cluster5
115,510c631b2230db845fa5c6c225639cef,0.255167,0.630944,cluster1
116,510c631b2230db845fa5c6c225639cef,0.255167,0.630944,cluster1
117,510c631b2230db845fa5c6c225639cef,0.255167,0.630944,cluster1
118,510c631b2230db845fa5c6c225639cef,0.255166,0.630944,cluster1
119,51a7a0aba3186e1c70521ddf7fc9ac49,0.475131,0.601402,cluster6
120,431bf37977b2173cda9674d5ede6b1fa,0.366301,0.659947,cluster7
121,431bf37977b2173cda9674d5ede6b1fa,0.366317,0.659944,cluster7
122,431bf37977b2173cda9674d5ede6b1fa,0.366325,0.65995,cluster7
123,431bf37977b2173cda9674d5ede6b1fa,0.366325,0.659952,cluster7
124,431bf37977b2173cda9674d5ede6b1fa,0.36635,0.659922,cluster7
125,431bf37977b2173cda9674d5ede6b1fa,0.366385,0.65994,cluster7
126,4e1ea5409724b45077c11472661240b3,0.359829,0.672668,cluster10
127,4e1ea5409724b45077c11472661240b3,0.359832,0.672678,cluster10
128,4e1ea5409724b45077c11472661240b3,0.359833,0.672684,cluster10
129,4e1ea5409724b45077c11472661240b3,0.35983,0.672669,cluster10
130,4e8704dbc2ee2a4176946ec698eb9e9f,0.471764,0.620474,cluster6
131,559c7a584bb0ceb0b7cae07a292b253b,0.256964,0.60172,cluster1
132,560d2aa3188d21a9d0e35491b22e5477,0.357902,0.674666,cluster10
133,560d2aa3188d21a9d0e35491b22e5477,0.357881,0.674655,cluster10
134,588facd1aa1d81b00d1818284e20f76d,0.277339,0.655479,cluster1
135,588facd1aa1d81b00d1818284e20f76d,0.277339,0.655476,cluster1
136,588facd1aa1d81b00d1818284e20f76d,0.277339,0.655475,cluster1
137,588facd1aa1d81b00d1818284e20f76d,0.277339,0.655472,cluster1
138,588facd1aa1d81b00d1818284e20f76d,0.277339,0.655497,cluster1
139,58b388c3179987e753c113bd695e5a7b,0.510916,0.492069,cluster8
140,557ff4fe883c254307d28996a3770c4b,0.358585,0.675444,cluster10
141,5f070362f2c9d04769ea0927601cfd9c,0.254231,0.628215,cluster1
142,5f2957e4985ea30927d01a9c7dc098b0,0.287068,0.661485,cluster1
143,5f2957e4985ea30927d01a9c7dc098b0,0.28707,0.6615,cluster1
144,5f9eb2ed2adc421a3b99e57f031dbc46,0.485229,0.702355,cluster3
